
0x122c > 0x1000 - [_init]

0x11dd > 0x1080 - [.plt.sec]

0x11ed > 0x1189 - [foo]

0x11ac > 0x1090 - [.plt.sec]
	TMR: _IO_file_underflow | 0x7f3a1b456bc3
	TMR: _IO_default_uflow | 0x7f3a1b457f97
	TMR: _IO_sputbackc | 0x7f3a1b458917
	TMR: psiginfo | 0x7f3a1b42b18c
	TMW: psiginfo | 0x7f3a1b42b251
	TMR: psiginfo | 0x7f3a1b42b229
	TMW: psiginfo | 0x7f3a1b42b251
	TMR: psiginfo | 0x7f3a1b42b229
	TMW: psiginfo | 0x7f3a1b42b251
	TMR: psiginfo | 0x7f3a1b42b229
	TMW: psiginfo | 0x7f3a1b42b251
	TMR: psiginfo | 0x7f3a1b42b229
	TMW: psiginfo | 0x7f3a1b42b251
	TMR: psiginfo | 0x7f3a1b42b229
	TMW: psiginfo | 0x7f3a1b42b251
	TMR: psiginfo | 0x7f3a1b42b229
	TMW: psiginfo | 0x7f3a1b42b251
	TMR: psiginfo | 0x7f3a1b42b229
	TMW: psiginfo | 0x7f3a1b42b251
	TMR: psiginfo | 0x7f3a1b42b229
	TMW: psiginfo | 0x7f3a1b42b251
	TMR: psiginfo | 0x7f3a1b42b229
	TMW: psiginfo | 0x7f3a1b42b251
	TMR: psiginfo | 0x7f3a1b42b229
	TMW: psiginfo | 0x7f3a1b42b251
	TMR: psiginfo | 0x7f3a1b42b229
	TMW: psiginfo | 0x7f3a1b42b251
	TMR: psiginfo | 0x7f3a1b42b229
	TMW: psiginfo | 0x7f3a1b42b251
	TMR: psiginfo | 0x7f3a1b42b229
	TMR: _IO_sputbackc | 0x7f3a1b458917

0x11c4 > 0x1070 - [.plt.sec]
	TMW: printf | 0x7f3a1b427cad
	TMR: strlen | 0x7f3a1b54e6e5
	TMR: _IO_file_xsputn | 0x7f3a1b45570c
	TMR: _IO_file_xsputn | 0x7f3a1b45570c
	TMR: _IO_file_xsputn | 0x7f3a1b45570c
	TMR: _IO_file_xsputn | 0x7f3a1b45570c
	TMR: _IO_file_xsputn | 0x7f3a1b45570c
	TMR: _IO_file_xsputn | 0x7f3a1b45570c
	TMR: _IO_file_xsputn | 0x7f3a1b45570c
	TMR: _IO_file_xsputn | 0x7f3a1b45570c
	TMR: _IO_file_xsputn | 0x7f3a1b45570c
	TMR: _IO_file_xsputn | 0x7f3a1b45570c
	TMR: _IO_file_xsputn | 0x7f3a1b45570c
	TMR: _IO_file_xsputn | 0x7f3a1b45570c
	TMR: _IO_file_xsputn | 0x7f3a1b45570c
	TMR: memcpy | 0x7f3a1b551767
	TMR: memcpy | 0x7f3a1b55176c
	TMW: memcpy | 0x7f3a1b55176f
	TMW: memcpy | 0x7f3a1b551774

0x1162 > 0x1060 - [.plt.got]

0x1167 > 0x10d0 - [deregister_tm_clones]
